"Code","CodeType","NewCode","Deficit"
"280.9","ICD9","2809","Anemia"
"280.1","ICD9","2801","Anemia"
"280.8","ICD9","2808","Anemia"
"280.0","ICD9","2800","Anemia"
"281.22","ICD9","28122","Anemia"
"281.23","ICD9","28123","Anemia"
"281.8","ICD9","2818","Anemia"
"281.0","ICD9","2810","Anemia"
"281.03","ICD9","28103","Anemia"
"281.99","ICD9","28199","Anemia"
"281.00","ICD9","28100","Anemia"
"281.90","ICD9","28190","Anemia"
"281.10","ICD9","28110","Anemia"
"281.3","ICD9","2813","Anemia"
"281.11","ICD9","28111","Anemia"
"281.94","ICD9","28194","Anemia"
"281.92","ICD9","28192","Anemia"
"281.91","ICD9","28191","Anemia"
"281.4","ICD9","2814","Anemia"
"281.20","ICD9","28120","Anemia"
"281.19","ICD9","28119","Anemia"
"281.01","ICD9","28101","Anemia"
"281.93","ICD9","28193","Anemia"
"281.2","ICD9","2812","Anemia"
"281.31","ICD9","28131","Anemia"
"281.12","ICD9","28112","Anemia"
"281.1","ICD9","2811","Anemia"
"281.02","ICD9","28102","Anemia"
"281.21","ICD9","28121","Anemia"
"281.9","ICD9","2819","Anemia"
"281.29","ICD9","28129","Anemia"
"281.13","ICD9","28113","Anemia"
"281.30","ICD9","28130","Anemia"
"281.39","ICD9","28139","Anemia"
"281.09","ICD9","28109","Anemia"
"282.79","ICD9","28279","Anemia"
"282.47","ICD9","28247","Anemia"
"282.8","ICD9","2828","Anemia"
"282.21","ICD9","28221","Anemia"
"282.09","ICD9","28209","Anemia"
"282.27","ICD9","28227","Anemia"
"282.61","ICD9","28261","Anemia"
"282.42","ICD9","28242","Anemia"
"282.75","ICD9","28275","Anemia"
"282.0","ICD9","2820","Anemia"
"282.3","ICD9","2823","Anemia"
"282.64","ICD9","28264","Anemia"
"282.62","ICD9","28262","Anemia"
"282.22","ICD9","28222","Anemia"
"282.04","ICD9","28204","Anemia"
"282.9","ICD9","2829","Anemia"
"282.32","ICD9","28232","Anemia"
"282.74","ICD9","28274","Anemia"
"282.50","ICD9","28250","Anemia"
"282.65","ICD9","28265","Anemia"
"282.19","ICD9","28219","Anemia"
"282.46","ICD9","28246","Anemia"
"282.33","ICD9","28233","Anemia"
"282.25","ICD9","28225","Anemia"
"282.01","ICD9","28201","Anemia"
"282.02","ICD9","28202","Anemia"
"282.73","ICD9","28273","Anemia"
"282.60","ICD9","28260","Anemia"
"282.41","ICD9","28241","Anemia"
"282.4","ICD9","2824","Anemia"
"282.23","ICD9","28223","Anemia"
"282.1","ICD9","2821","Anemia"
"282.26","ICD9","28226","Anemia"
"282.03","ICD9","28203","Anemia"
"282.72","ICD9","28272","Anemia"
"282.30","ICD9","28230","Anemia"
"282.71","ICD9","28271","Anemia"
"282.39","ICD9","28239","Anemia"
"282.43","ICD9","28243","Anemia"
"282.49","ICD9","28249","Anemia"
"282.78","ICD9","28278","Anemia"
"282.48","ICD9","28248","Anemia"
"282.77","ICD9","28277","Anemia"
"282.7","ICD9","2827","Anemia"
"282.68","ICD9","28268","Anemia"
"282.44","ICD9","28244","Anemia"
"282.24","ICD9","28224","Anemia"
"282.11","ICD9","28211","Anemia"
"282.59","ICD9","28259","Anemia"
"282.2","ICD9","2822","Anemia"
"282.00","ICD9","28200","Anemia"
"282.45","ICD9","28245","Anemia"
"282.29","ICD9","28229","Anemia"
"282.70","ICD9","28270","Anemia"
"282.69","ICD9","28269","Anemia"
"282.76","ICD9","28276","Anemia"
"282.20","ICD9","28220","Anemia"
"282.31","ICD9","28231","Anemia"
"282.63","ICD9","28263","Anemia"
"282.5","ICD9","2825","Anemia"
"282.10","ICD9","28210","Anemia"
"282.40","ICD9","28240","Anemia"
"283.02","ICD9","28302","Anemia"
"283.22","ICD9","28322","Anemia"
"283.01","ICD9","28301","Anemia"
"283.9","ICD9","2839","Anemia"
"283.25","ICD9","28325","Anemia"
"283.12","ICD9","28312","Anemia"
"283.00","ICD9","28300","Anemia"
"283.24","ICD9","28324","Anemia"
"283.05","ICD9","28305","Anemia"
"283.21","ICD9","28321","Anemia"
"283.10","ICD9","28310","Anemia"
"283.13","ICD9","28313","Anemia"
"283.0","ICD9","2830","Anemia"
"283.99","ICD9","28399","Anemia"
"283.2","ICD9","2832","Anemia"
"283.09","ICD9","28309","Anemia"
"283.90","ICD9","28390","Anemia"
"283.29","ICD9","28329","Anemia"
"283.23","ICD9","28323","Anemia"
"283.11","ICD9","28311","Anemia"
"283.19","ICD9","28319","Anemia"
"283.04","ICD9","28304","Anemia"
"283.1","ICD9","2831","Anemia"
